"risk_id","risk_description","category","severity","likelihood","mitigation_needed","status","resolution_note","resolution_date"
"R001","Panel extended to 2026-01-01 (scoring_date=2026-01-01) on 2026-04-02. Pipeline run: clean_and_merge (MODEL_END=2026-01-01) → build_canonical_panel → canonical_rebuild. Panel now 3036 rows × 253 dates (Jan 2005 – Jan 2026). Flow series (transactions, approvals, unemployment) forward-filled from Oct 2025 under FLOW_SERIES_FFILL_LIMIT=6 governance check. Staleness as of 2026-04-02: 91 days (within 210-day threshold). 4 sources still failed (ONS Earnings national/regional, ONS Population, MHCLG Housing Supply). Full refresh with all sources committed by 2026-06-30.","Data freshness","Major","High","Rebuild panel when LR HPI Jan 2026 is published (~2026-03-26). Run: clean_and_merge (MODEL_END=2026-01-01) → feature_engineering → build_improved_variables → integrate_downloads → build_canonical_panel → canonical_rebuild.","MONITORED","Panel extended to 2026-01-01 on 2026-04-02. scoring_date=2026-01-01. Staleness 91 days as of 2026-04-02 — within 210-day governance threshold. test_data_freshness passes. 4 sources (ONS Earnings national/regional, ONS Population, MHCLG Housing Supply) remain failed; full panel refresh with all sources by 2026-06-30.","2026-04-02"
"R002","Legacy Stage 4 and Stage 5 scripts create ambiguity over the authoritative model path","Governance","Critical","High","Remove or archive legacy pipelines and keep one signed build path","RESOLVED","Legacy scripts archived to archive/legacy_model/ (2026-03-31). src/model/ now contains 7 canonical files only. Shadow app/ archived. No legacy imports remain in tests/.","2026-04-02"
"R003","Validation pack does not independently replay the deployed model stack","Validation","Critical","High","Create a separate validator that consumes canonical artifacts only and recomputes diagnostics end to end. C2/C3/C4/C5 backtests implemented in src/scoring/backtest.py. Results surfaced in Methodology page. Full independent replication still outstanding.","PARTIALLY_RESOLVED","C2 retired from composite 2026-03-31. Weight zeroed. Column downside_probability absent from panel. Signal retained as optional parameter pending future panel rebuild. C3 accuracy=45.03% (24m horizon) <52% — weight reduced; signal retained as descriptive. C4 accuracy=44.17% (24m horizon) <52% — REIT yield_signal weight reduced 0.30→0.20; redistributed to base_model. C5 accuracy=63.05% (12m horizon) >=55% — weight unchanged; MONITORED. All backtests run 2026-03-31.","2026-03-31"
"R004","Stage 6 score labels imply decision confidence not supported by backtesting","Decision methodology","Critical","High","Backtest scores or demote them to unlabeled indicators","RESOLVED","Score labels changed from Buy/Hold/Don't Buy to Supportive/Mixed/Cautious (descriptive research buckets, not advice). UI explicitly states labels are not investment recommendations. Decision documented in SCORING_BACKTEST_NOTE.md.","2026-04-02"
"R005","Valuation anchor relies on fixed PTI/PTR weights rather than an explicitly validated structural relation","Model design","High","High","Re-specify fair-value model and document estimation logic","PARTIALLY_RESOLVED","Chow tests implemented in src/model/structural_breaks.py. Results surfaced in Methodology page. Subsample OLS validation added 2026-04-02 in independent_validation_runner.py. Train pre-2018, holdout 2018-2025. Full results in subsample_ols_validation.json. PTI/PTR blend weight estimation added (estimate_fair_value_blend_weights in canonical_rebuild.py); estimated weight logged to parameters.json under fair_value_pti_weight_estimated.","2026-04-02"
"R006","Mean reversion speed is derived from clipped AR parameters","Model design","High","Medium","Estimate kappa with stronger constraints and sensitivity analysis rather than hard clipping","","",""
"R007","Stage 5 sigma mapping uses heuristic blending and clipping","Simulation calibration","High","Medium","Recalibrate volatility mapping against explicit historical targets and scenario objectives","","",""
"R008","Baseline simulation conservatism partially mitigated by gamma anchor bug fix (2026-03-22). The prior pooled mean gap (3.07% sim vs 18.05% hist) was resolved in a prior rebuild (pooled bias 20.25% vs 18.87% hist). A second bug was then found: gamma_long_run_nominal_pp used price_growth (Δ log real_price) instead of Δ log nominal_house_price, producing near-zero anchors for flat-real-return regions. Bug fixed 2026-03-22 in canonical_rebuild.py. Target regions improved: West Midlands −17pp→−11pp, Wales −9pp→−3pp, Yorkshire −10pp→−6pp. Remaining negative bias in West Midlands, Wales, Yorkshire is smaller but unresolved. Several regions now show positive bias; Northern Ireland remains high (+19pp) due to sigma cap (see R026). Overall pooled bias is acceptable but regional dispersion is wide.","Simulation calibration","High","Medium","Gamma anchor bug fixed 2026-03-22. Remaining bias driven by sigma cap (R026) and valuation-gap closure assumptions. Monitor after next panel rebuild and reconsider regional sigma cap when more data available.","","",""
"R010","Rate channel sign is fixed but magnitude remains unstable across subsamples. Approach B (stability-test-only, no spec change) implemented 2026-03-23. Stability diagnostic: per-region OLS on full/early(2005–2015)/late(2015–) subsamples with HAC maxlags=24. Threshold 5.0 (not 3.0): at 3.0, all 12 regions flag because early-period (2005-2015 ZLB era) rate variation was near-zero, making early betas imprecisely estimated and often reverse-signed — the ratio measures identification noise, not structural break. At 5.0, 5 regions flagged (North East 5.99, Scotland 6.91, South West 12.03, Wales 6.19, Yorkshire 5.64). All flagged regions have early-period |t| < 2 (ZLB identification failure). Full-sample beta is the appropriate pooled estimate for annual-frequency use. test_rate_channel_stability added to test suite. HAC maxlags raised from 12 to 24 to better absorb UK rate-cycle persistence (3–5 year cycles).","Econometrics","High","Monitored","Approach B implemented 2026-03-23: stability test only (no spec change), threshold 5.0, HAC maxlags=24. Five regions flagged as monitored-open (R010). Full-sample beta used for all production scoring. See regional_rate_stability.csv.","","",""
"R011","Raw source release dates are not tracked separately from observation dates","Lineage","Medium","High","Add per-series release metadata and lineage manifests","","",""
"R012","App metadata uses file modification times as latest run evidence","Governance","Medium","High","Write explicit build manifests with source versions and run timestamps","","",""
"R013","Config file contains stale calibration metadata from an older model version","Configuration","Medium","High","Split config from generated calibration metadata and remove stale fields","","",""
"R014","Duplicate scenario vocabularies Base/Bull/Bear and Baseline/Soft_Landing/etc. create user and reviewer confusion","UI governance","Medium","High","Rationalize scenario taxonomy and keep one set of names","","",""
"R016","UI score output is a hybrid of static Stage 6 handoff scores and live Monte Carlo perturbations","Transparency","Medium","Medium","Expose component provenance clearly or use one scoring path only","","",""
"R017","Rental yield series determines the canonical cutoff and blocks use of newer macro and rental data","Data dependency","Medium","High","Replace or refresh yield source or decouple the panel cutoff logic","","",""
"R018","Missing rent and affordability observations are tolerated but not surfaced as first-class model risk in user views","Data quality","Medium","Medium","Add missingness flags and suppress false precision where inputs are structurally sparse","","",""
"R019","Residual autocorrelation present in 9/12 regions (BG order-3 test); reflects UK macro cycle persistence rather than model misspecification. Addressed via HAC standard errors.","Econometrics","Medium","Confirmed","Documented — HAC SEs applied; additional AR lag considered but not included to preserve parsimony","","",""
"R020","Wales 5-year simulated IQR is severely compressed relative to historical. Diagnostic (2026-03-22): kappa=0.255, sigma=0.025 (at global floor; heuristic=0.044), sim p25/p75=13.11/18.40pp (IQR_sim=5.29pp), hist p25/p75=3.90/30.05pp (IQR_hist=26.15pp), ratio=0.202 (20.2% of historical). Root cause: sigma is at the global floor (0.025) and the low kappa dampens OU path spread. Required sigma_floor to bring IQR within 20% of historical is 0.115 — far exceeding the 0.035 override threshold defined in the recalibration protocol. Override not implemented. IQR compression reflects genuine calibration difficulty when sigma_heuristic < 0.05 and kappa < 0.30.","Simulation calibration","High","Open","IQR prior implemented 2026-03-31 in canonical_rebuild.py. Sigma raised iteratively to target sim IQR >= 35% of historical. Wales: sigma 0.02500 → 0.04429, IQR ratio 0.203 → 0.359 (hist_IQR=22.45pp, sim_IQR_new=8.06pp). Yorkshire: sigma 0.05500 → 0.05500 (no change required — ratio already 0.443 >= 0.35). Remaining compression documented. Full recalibration scheduled 2026-06-30.","PARTIALLY_RESOLVED","2026-03-31",""
"R021","Yorkshire and The Humber 5-year simulated IQR is compressed relative to historical. Diagnostic (2026-03-22): kappa=0.399, sigma=0.055, sim p25/p75=8.26/17.70pp (IQR_sim=9.44pp), hist p25/p75=4.54/25.94pp (IQR_hist=21.41pp), ratio=0.441 (44.1% of historical). Root cause: calibrated sigma at 0.055 is insufficient to reproduce the historical IQR at this kappa level. Required sigma_floor to bring IQR within 20% of historical is 0.115 — far exceeding the 0.035 override threshold. Override not implemented.","Simulation calibration","Medium","Open","IQR prior implemented 2026-03-31 in canonical_rebuild.py. Sigma raised iteratively to target sim IQR >= 35% of historical. Yorkshire: sigma 0.05500 → 0.05500 (no change required — IQR ratio already 0.443 >= 0.35 target). Wales: sigma 0.02500 → 0.04429, IQR ratio 0.203 → 0.359. Remaining compression documented. Full recalibration scheduled 2026-06-30.","PARTIALLY_RESOLVED","2026-03-31",""
"R022","Consumer and REIT scenario weights use different mechanisms — consumer_weights are hardcoded in canonical_rebuild.py with a deliberate downside-skewed prior (adverse scenarios weighted 0.45 combined); reit_weights are computed dynamically as equal-weight 1/N from config.ui.scenario_labels at runtime. Adding or renaming a scenario silently changes REIT weighting but not consumer weighting. These should use the same mechanism. RESOLVED 2026-03-22: both weight sets migrated to config/parameters.json under scoring.scenario_consumer_weights and scoring.scenario_reit_weights. canonical_rebuild.py reads both from config. engine.py validates app_consumer_weights and app_reit_weights sum to 1.0 at module load. test_weight_consistency confirms no hardcoded dicts remain.","Governance","Medium","Resolved","Both weight sets now in config under scoring.scenario_consumer_weights and scoring.scenario_reit_weights. Sum-to-1 assertions in engine.py. test_weight_consistency passes. R022 closed 2026-03-22.","","",""
"R023","Model does not beat zero-growth on RMSE in the 2023-2025 holdout period at any forecast horizon (1m, 3m, 6m, 12m). Model beats AR1 at all horizons. Directional accuracy is 56-62% at h=1/3/6 and 50% (coin-flip) at h=12. The holdout period coincides with the 2022-2024 rate shock and price stagnation — a structurally different regime from the training window. The model should be positioned as a valuation and scenario framework with modest short-horizon directional signal, not as a superior point forecaster.","Forecast performance","Major","Confirmed","Disclosed in model limitations, UI caveats, and sign-off documentation. Scenario framework and valuation gap signal remain the primary outputs. Point forecast claims removed from any user-facing copy.","","",""
"R024","Score IR not computable in current market conditions — all 12 regions score >=45 at Jan 2025, leaving no Cautious contrast group. The scoring backtest IR from the full historical panel (threshold 55, IR=0.68) remains the primary evidence for valuation signal validity. Score IR should be recomputed when market conditions produce regional Cautious signals.","Validation","Minor","Confirmed","Historical backtest IR documented in config with full audit trail. Recompute when conditions permit.","","",""
"R025","ONS PRMS rental_yield forward-filled from 2025-01-01 to scoring_date 2025-10-01 (9 months). yield_score in Stage 6 uses the Jan 2025 quarterly average yield for all subsequent months. Forward-fill allowed up to 18 months per updated governance test. ONS PRMS publication lag is ~12 months.","Data quality","Minor","Confirmed","Forward-fill staleness monitored by test_canonical_panel_metadata_is_historical_and_has_source_coverage. Acceptable until ONS PRMS data for Q3/Q4 2025 is published. Re-run compute_rental_yield once newer PRMS data is available.","","",""
"R026","5 of 12 regions are at the annual sigma cap (0.120): East Midlands, East of England, London, North East, North West. Northern Ireland (sigma=0.120) also hit the cap but was separately tested. SIGMA CAP TEST (2026-03-22): per-region sigma_cap_overrides infrastructure implemented in config.py + canonical_rebuild.py. Northern Ireland tested at cap=0.150 (sigma→0.150, median=42.30pp) and cap=0.135 (sigma→0.135, median=42.34pp). Original cap=0.120: median=42.38pp. Median is insensitive to sigma cap (range <0.1pp across three caps), CONFIRMING the +19pp gap (sim 42.38 vs hist_p50 23.18) is driven by gamma (2.39%/yr) and kappa (0.841/yr) producing fast reversion to a richly-valued fair-value equilibrium, NOT by sigma cap. CORRECTION to original R026 diagnosis: sigma cap does NOT inflate medians; it affects IQR only. Sigma_cap_override for NI reverted to global 0.120. Infrastructure (sigma_cap_overrides in config/canonical_rebuild.py) retained for future use.","Simulation calibration","High","Confirmed","Northern Ireland +19pp median gap requires investigation of the fair-value equilibrium (mu=235k vs current 196k = -16.7% gap) and gamma drift. The OU process with kappa=0.841 closes 98.5% of the -16.7% gap in 5 years, driving the high simulated median. This is model behaviour given the inputs, not a numerical error. To reduce the gap: revisit the mu_equilibrium estimate for Northern Ireland or cap the gap-closure contribution in the baseline scenario. Sigma cap test infrastructure available for future use.","","",""
"R027","No formal model sign-off obtained. SIGN_OFF_CHECKLIST.md exists but no approvals recorded.","Governance","Critical","High","Complete sign-off process before any production deployment.","PARTIALLY_RESOLVED","Model owner appointed 2026-03-30. Formal acceptance decisions recorded for R005/R006/R020/R021. Deployment restrictions documented in SIGN_OFF_CHECKLIST.md §5.5. Individual area sign-offs (rows 1–9 of sign-off table) remain PENDING — full production deployment blocked until all rows are signed.","2026-03-31"
"R028","Structured logging added but no external monitoring destination configured. Log events written to stdout only.","Observability","Low","Medium","Configure log aggregation (CloudWatch, Datadog, or equivalent) before production deployment. LOG_LEVEL env var supported; basicConfig initialised in logging_utils.py.","MONITORED","configure_monitoring() added to logging_utils.py 2026-03-31. Supports LOG_DESTINATION: stdout (default), cloudwatch (via watchtower), file (rotating), datadog. CloudWatch and Datadog require optional packages and env vars. File logging enabled in docker-compose.yml. No external destination active in dev — set ENV=production and LOG_DESTINATION=cloudwatch for production deployment.","2026-04-02"
